CustomerID,InternalObligorID,OriginalInternalObligorID,ObligorName,City,Country,ZipCodeForeignMailingCode
CUST!001,OBID001,OBID001,Acme Corporation,New York,US,10001
CUST002,OBID002,OBID002,Beta Industries,Los Angeles,US,90001
CUS!T003,OBID003,OBID003,Gamma Systems,Chicago,US,60601
CUST004,OBID004,OBID004,Delta Solutions,Houston,US,77001
CUST005,OBID005,OBID005,Epsilon Enterprises,Phoenix,US,85001
CUST006,OBID006,OBID006,Individual,Philadelphia,US,19101
CUST007,OBID007,OBID007,Zeta Group,San Antonio,US,78201
CUST008,OBID008,OBID008,Eta Holdings,San Diego,US,92101
CUST009,OBID009,OBID009,Theta Ventures,Dallas,US,75201
CUST010,OBID010,OBID010,Individual,San Jose,US,95101
CUST011,OBID011,OBID011,Invalid,London,GB,SW1A 0AA
CUS!T012,OBID012,OBID012,Another Invalid,Paris,FR,75001
CUST013,OBID013,OBID013,A third Invalid,Tokyo,JP,100-0001
CUST014,OBID014,OBID014,The fourth Invalid,Sydney,AU,2000
CUST015,OBID015,OBID015,Fifth Invalid,Toronto,CA,M5H 2N2
OBID016,OBID016,Company, Inc.,Boston,US,02115
CUST017,\nOBID017,OBID017,Newline Company,Miami,US,33101
CUST018,OBID018,OBID018,Carriage\rReturn Company,Seattle,US,98101
CUST019,OBID019,OBID019,Non-printableCompany" ,Denver,US,80201
